state,year,month,number
Acre,2016,7,533
Acre,2017,7,457
Acre,1998,8,130
Acre,1999,8,63
Acre,2000,8,136
Acre,2001,8,396
Acre,2002,8,728
Acre,2003,8,1.976
Acre,2004,8,645
Acre,2005,8,4.198
Acre,2006,8,839
Acre,2007,8,960
Acre,2008,8,445
Acre,2009,8,194
Acre,2010,8,1.682
Acre,2011,8,425
Acre,2012,8,739
Acre,2013,8,679
Acre,2014,8,1.1
Acre,2015,8,1.397
Acre,2016,8,2.188
Acre,2017,8,1.493
Acre,1998,9,509
Acre,1999,9,209
Acre,2000,9,265
Acre,2001,9,290
Acre,2002,9,1.949
Acre,2003,9,3.942
Acre,2004,9,1.978
Acre,2005,9,4.253
Acre,2006,9,2.37
Acre,2007,9,2.08
Acre,2008,9,1.666
Acre,2009,9,1.265
Acre,2010,9,2.531
Acre,2011,9,1.204
Acre,2012,9,1.996
Acre,2013,9,2.136
Acre,2014,9,2.175
Acre,2015,9,2.928
Acre,2016,9,3.586
Acre,2017,9,3.429
Acre,1998,10,44
Acre,1999,10,60
Acre,2000,10,18
Acre,2001,10,137
Acre,2002,10,687
Acre,2003,10,740
Acre,2004,10,461
Acre,2005,10,547
Acre,2006,10,316
Acre,2007,10,203
Acre,2008,10,652
Acre,2009,10,565
Acre,2010,10,292
Acre,2011,10,97
Acre,2012,10,348
Acre,2013,10,258
Acre,2014,10,406
Acre,2015,10,905
Acre,2016,10,509
Acre,2017,10,1.508
Acre,1998,11,0
Acre,1999,11,0
Acre,2000,11,0
Acre,2001,11,1
Acre,2002,11,86
Acre,2003,11,15
Acre,2004,11,10
Acre,2005,11,14
Acre,2006,11,18
Acre,2007,11,7
Acre,2008,11,4
Acre,2009,11,33
Acre,2010,11,39
Acre,2011,11,74
Acre,2012,11,13
Acre,2013,11,79
Acre,2014,11,56
Acre,2015,11,115
Acre,2016,11,46
Acre,2017,11,98
Acre,1998,12,7
Acre,1999,12,0
Acre,2000,12,0
Acre,2001,12,0
Acre,2002,12,1
Acre,2003,12,1
Acre,2004,12,7
Acre,2005,12,2
Acre,2006,12,0
Acre,2007,12,0
Acre,2008,12,0
Acre,2009,12,1
Acre,2010,12,0
Acre,2011,12,4
Acre,2012,12,1
Acre,2013,12,3
Acre,2014,12,6
Acre,2015,12,8
Acre,2016,12,6
Alagoas,1998,1,0
Alagoas,1999,1,58
Alagoas,2000,1,11
Alagoas,2001,1,5
Alagoas,2002,1,12
Alagoas,2003,1,150
Alagoas,2004,1,9
Alagoas,2005,1,83
Alagoas,2006,1,29
Alagoas,2007,1,33
Alagoas,2008,1,55
Alagoas,2009,1,104
Alagoas,2010,1,23
Alagoas,2011,1,41
Alagoas,2012,1,36
Alagoas,2013,1,49
Alagoas,2014,1,54
Alagoas,2015,1,81
Alagoas,2016,1,24
Alagoas,2017,1,38
Alagoas,2017,1,38
Alagoas,1998,2,0
Alagoas,1999,2,20
Alagoas,2000,2,16
Alagoas,2001,2,4
Alagoas,2002,2,15
Alagoas,2003,2,33
Alagoas,2004,2,7
Alagoas,2005,2,31
Alagoas,2006,2,14
Alagoas,2007,2,28
Alagoas,2008,2,74
Alagoas,2009,2,32
Alagoas,2010,2,26
Alagoas,2011,2,33
Alagoas,2012,2,41
Alagoas,2013,2,19
Alagoas,2014,2,29
Alagoas,2015,2,46
Alagoas,2016,2,14
Alagoas,2017,2,21
Alagoas,1998,3,0
Alagoas,1999,3,52
Alagoas,2000,3,32
Alagoas,2001,3,0
Alagoas,2002,3,27
Alagoas,2003,3,15
Alagoas,2004,3,16
Alagoas,2005,3,35
Alagoas,2006,3,37
Alagoas,2007,3,7
Alagoas,2008,3,31
Alagoas,2009,3,31
Alagoas,2010,3,70
Alagoas,2011,3,34
Alagoas,2012,3,44
Alagoas,2013,3,31
Alagoas,2014,3,28
Alagoas,2015,3,32
Alagoas,2016,3,9
Alagoas,2017,3,23
Alagoas,1998,4,0
Alagoas,1999,4,4
Alagoas,2000,4,20
Alagoas,2001,4,0
Alagoas,2002,4,6
Alagoas,2003,4,20
Alagoas,2004,4,6
Alagoas,2005,4,1
Alagoas,2006,4,2
Alagoas,2007,4,1
Alagoas,2008,4,18
Alagoas,2009,4,5
Alagoas,2010,4,3
Alagoas,2011,4,17
Alagoas,2012,4,18
Alagoas,2013,4,25
Alagoas,2014,4,16
Alagoas,2015,4,63
Alagoas,2016,4,13
Alagoas,2017,4,7
Alagoas,1998,5,0
Alagoas,1999,5,1
Alagoas,2000,5,1
Alagoas,2001,5,2
Alagoas,2002,5,1
Alagoas,2003,5,1
Alagoas,2004,5,3
Alagoas,2005,5,0
Alagoas,2006,5,0
Alagoas,2007,5,0
Alagoas,2008,5,0
Alagoas,2009,5,0
Alagoas,2010,5,0
Alagoas,2011,5,0
Alagoas,2012,5,21
Alagoas,2013,5,2
Alagoas,2014,5,1
Alagoas,2015,5,18
Alagoas,2016,5,4
Alagoas,2017,5,1
Alagoas,1998,6,0
Alagoas,1999,6,0
Alagoas,2000,6,0
Alagoas,2001,6,2
Alagoas,2002,6,0
Alagoas,2003,6,0
Alagoas,2004,6,0
Alagoas,2005,6,0
Alagoas,2006,6,0
Alagoas,2007,6,0
Alagoas,2008,6,0
Alagoas,2009,6,0
Alagoas,2010,6,0
Alagoas,2011,6,2
Alagoas,2012,6,4
Alagoas,2013,6,1
Alagoas,2014,6,2
Alagoas,2015,6,2
Alagoas,2016,6,5
Alagoas,2017,6,2
Alagoas,1998,7,0
Alagoas,1999,7,0
Alagoas,2000,7,0
Alagoas,2001,7,0
Alagoas,2002,7,5
Alagoas,2003,7,0
Alagoas,2004,7,0
Alagoas,2005,7,0
Alagoas,2006,7,0
Alagoas,2007,7,0
Alagoas,2008,7,0
Alagoas,2009,7,0
Alagoas,2010,7,2
Alagoas,2011,7,0
Alagoas,2012,7,0
Alagoas,2013,7,0
Alagoas,2014,7,1
Alagoas,2015,7,0
Alagoas,2016,7,3
Alagoas,2017,7,0
Alagoas,1998,8,1
Alagoas,1999,8,3
Alagoas,2000,8,4
Alagoas,2001,8,1
Alagoas,2002,8,3
Alagoas,2003,8,2
Alagoas,2004,8,2
Alagoas,2005,8,2
Alagoas,2006,8,1
Alagoas,2007,8,3
Alagoas,2008,8,1
Alagoas,2009,8,0
Alagoas,2010,8,1
Alagoas,2011,8,4
Alagoas,2012,8,0
Alagoas,2013,8,0
Alagoas,2014,8,3
Alagoas,2015,8,3
Alagoas,2016,8,5
Alagoas,2017,8,1
Alagoas,1998,9,14
Alagoas,1999,9,3
Alagoas,2000,9,22
Alagoas,2001,9,5
Alagoas,2002,9,14
Alagoas,2003,9,8
Alagoas,2004,9,5
Alagoas,2005,9,7
Alagoas,2006,9,4
Alagoas,2007,9,2
Alagoas,2008,9,9
Alagoas,2009,9,13
Alagoas,2010,9,5
Alagoas,2011,9,5
Alagoas,2012,9,6
Alagoas,2013,9,4
Alagoas,2014,9,11
Alagoas,2015,9,7
Alagoas,2016,9,18
Alagoas,2017,9,4
Alagoas,1998,10,20
Alagoas,1999,10,4
Alagoas,2000,10,13
Alagoas,2001,10,15
Alagoas,2002,10,30
Alagoas,2003,10,10
Alagoas,2004,10,12
Alagoas,2005,10,17
Alagoas,2006,10,32
Alagoas,2007,10,6
Alagoas,2008,10,18
Alagoas,2009,10,30
Alagoas,2010,10,16
Alagoas,2011,10,23
Alagoas,2012,10,28
Alagoas,2013,10,25
Alagoas,2014,10,7
Alagoas,2015,10,40
Alagoas,2016,10,74
Alagoas,2017,10,14
Alagoas,1998,11,19
Alagoas,1999,11,15
Alagoas,2000,11,2
Alagoas,2001,11,22
Alagoas,2002,11,50
Alagoas,2003,11,17
Alagoas,2004,11,28
Alagoas,2005,11,25
Alagoas,2006,11,12
Alagoas,2007,11,15
Alagoas,2008,11,37
Alagoas,2009,11,55
Alagoas,2010,11,31
Alagoas,2011,11,23
Alagoas,2012,11,95
Alagoas,2013,11,10
Alagoas,2014,11,14
Alagoas,2015,11,162
Alagoas,2016,11,76
Alagoas,2017,11,10
Alagoas,1998,12,32
Alagoas,1999,12,12
Alagoas,2000,12,2
Alagoas,2001,12,30
Alagoas,2002,12,95
Alagoas,2003,12,43
Alagoas,2004,12,71
Alagoas,2005,12,16
Alagoas,2006,12,30
Alagoas,2007,12,33
Alagoas,2008,12,34
Alagoas,2009,12,55
Alagoas,2010,12,45
Alagoas,2011,12,50
Alagoas,2012,12,59
Alagoas,2013,12,42
Alagoas,2014,12,24
Alagoas,2015,12,136
Alagoas,2016,12,155
Amapa,1998,1,0
Amapa,1999,1,0
Amapa,2000,1,2
Amapa,2001,1,0
Amapa,2002,1,7
Amapa,2003,1,31
Amapa,2004,1,38
Amapa,2005,1,109
Amapa,2006,1,6
Amapa,2007,1,0
Amapa,2008,1,2
Amapa,2009,1,4
Amapa,2010,1,2
Amapa,2011,1,0
Amapa,2012,1,30
Amapa,2013,1,3
Amapa,2014,1,10
Amapa,2015,1,14
Amapa,2016,1,19
Amapa,2017,1,2
Amapa,1998,2,0
Amapa,1999,2,1
Amapa,2000,2,0
Amapa,2001,2,0
Amapa,2002,2,2
Amapa,2003,2,0
Amapa,2004,2,2
Amapa,2005,2,1
Amapa,2006,2,2
Amapa,2007,2,0
Amapa,2008,2,0
Amapa,2009,2,0
Amapa,2010,2,0
Amapa,2011,2,3
Amapa,2012,2,5
Amapa,2013,2,0
Amapa,2014,2,2
Amapa,2015,2,1
Amapa,2016,2,1
Amapa,2017,2,0
Amapa,1998,3,0
Amapa,1999,3,2
Amapa,2000,3,0
Amapa,2001,3,0
Amapa,2002,3,0
Amapa,2003,3,1
Amapa,2004,3,0
Amapa,2005,3,0
Amapa,2006,3,0
Amapa,2007,3,0
Amapa,2008,3,1
Amapa,2009,3,1
Amapa,2010,3,2
Amapa,2011,3,0
Amapa,2012,3,1
Amapa,2013,3,0
Amapa,2014,3,1
Amapa,2015,3,2
Amapa,2016,3,5
Amapa,2017,3,0
Amapa,1998,4,0
Amapa,1999,4,0
Amapa,2000,4,0
Amapa,2001,4,0
Amapa,2002,4,0
Amapa,2003,4,2
Amapa,2004,4,0
Amapa,2005,4,0
Amapa,2006,4,0
Amapa,2007,4,0
Amapa,2008,4,2
Amapa,2009,4,0
Amapa,2010,4,2
Amapa,2011,4,0
Amapa,2012,4,2
Amapa,2013,4,2
Amapa,2014,4,0
Amapa,2015,4,0
Amapa,2016,4,0
Amapa,2017,4,3
Amapa,1998,5,0
Amapa,1999,5,0
Amapa,2000,5,0
Amapa,2001,5,0
Amapa,2002,5,3
Amapa,2003,5,0
Amapa,2004,5,0
Amapa,2005,5,0
Amapa,2006,5,0
Amapa,2007,5,0
Amapa,2008,5,0
Amapa,2009,5,2
Amapa,2010,5,2
Amapa,2011,5,2
Amapa,2012,5,2
Amapa,2013,5,0
Amapa,2014,5,0
Amapa,2015,5,0
Amapa,2016,5,1
Amapa,2017,5,1
Amapa,1998,6,0
Amapa,1999,6,2
Amapa,2000,6,0
Amapa,2001,6,0
Amapa,2002,6,0
Amapa,2003,6,0
Amapa,2004,6,5
Amapa,2005,6,2
Amapa,2006,6,0
Amapa,2007,6,0
Amapa,2008,6,0
Amapa,2009,6,1
Amapa,2010,6,0
Amapa,2011,6,0
Amapa,2012,6,7
Amapa,2013,6,1
Amapa,2014,6,0
Amapa,2015,6,3
Amapa,2016,6,2
Amapa,2017,6,2
Amapa,1998,7,0
Amapa,1999,7,0
Amapa,2000,7,0
Amapa,2001,7,1
Amapa,2002,7,1
Amapa,2003,7,0
Amapa,2004,7,2
Amapa,2005,7,0
Amapa,2006,7,0
Amapa,2007,7,0
Amapa,2008,7,0
Amapa,2009,7,4
Amapa,2010,7,2
Amapa,2011,7,5
Amapa,2012,7,3
Amapa,2013,7,1
Amapa,2014,7,4
Amapa,2015,7,5
Amapa,2016,7,1
Amapa,2017,7,3
Amapa,1998,8,1
Amapa,1999,8,0
Amapa,2000,8,3
Amapa,2001,8,12
Amapa,2002,8,18
Amapa,2003,8,14
Amapa,2004,8,9
Amapa,2005,8,4
Amapa,2006,8,11
Amapa,2007,8,5
Amapa,2008,8,4
Amapa,2009,8,20
Amapa,2010,8,1
Amapa,2011,8,16
Amapa,2012,8,19
Amapa,2013,8,9
Amapa,2014,8,18
Amapa,2015,8,40
Amapa,2016,8,37
Amapa,2017,8,33
Amapa,1998,9,20
Amapa,1999,9,4
Amapa,2000,9,19
Amapa,2001,9,95
Amapa,2002,9,73
Amapa,2003,9,88
Amapa,2004,9,67
Amapa,2005,9,97
Amapa,2006,9,112
Amapa,2007,9,61
Amapa,2008,9,83
Amapa,2009,9,188
Amapa,2010,9,63
Amapa,2011,9,128
Amapa,2012,9,168
Amapa,2013,9,85
Amapa,2014,9,137
Amapa,2015,9,192
Amapa,2016,9,142
Amapa,2017,9,95
Amapa,1998,10,42
Amapa,1999,10,25
Amapa,2000,10,42
Amapa,2001,10,194
Amapa,2002,10,557
Amapa,2003,10,355
Amapa,2004,10,412
Amapa,2005,10,335
Amapa,2006,10,405
Amapa,2007,10,162
Amapa,2008,10,395
Amapa,2009,10,765
Amapa,2010,10,265
Amapa,2011,10,304
Amapa,2012,10,475
Amapa,2013,10,385
Amapa,2014,10,480
Amapa,2015,10,827
Amapa,2016,10,793
Amapa,2017,10,468
Amapa,1998,11,131
Amapa,1999,11,26
Amapa,2000,11,157
Amapa,2001,11,406
Amapa,2002,11,1.096
Amapa,2003,11,750
Amapa,2004,11,949
Amapa,2005,11,685
Amapa,2006,11,207
Amapa,2007,11,198
Amapa,2008,11,266
Amapa,2009,11,1.019
Amapa,2010,11,339
Amapa,2011,11,282
Amapa,2012,11,969
Amapa,2013,11,341
Amapa,2014,11,484
Amapa,2015,11,1.3
Amapa,2016,11,1.161
Amapa,2017,11,858
Amapa,1998,12,84
Amapa,1999,12,41
Amapa,2000,12,30
Amapa,2001,12,593
Amapa,2002,12,200
Amapa,2003,12,411
Amapa,2004,12,777
Amapa,2005,12,38
Amapa,2006,12,74
Amapa,2007,12,14
Amapa,2008,12,32
Amapa,2009,12,123
Amapa,2010,12,43
Amapa,2011,12,360
Amapa,2012,12,422
Amapa,2013,12,148
Amapa,2014,12,354
Amapa,2015,12,269
Amapa,2016,12,491
Amazonas,1998,1,0
Amazonas,1999,1,3
Amazonas,2000,1,7
Amazonas,2001,1,3
Amazonas,2002,1,17
Amazonas,2003,1,158
Amazonas,2004,1,123
Amazonas,2005,1,44
Amazonas,2006,1,20
Amazonas,2007,1,37
Amazonas,2008,1,16
Amazonas,2009,1,9
Amazonas,2010,1,82
Amazonas,2011,1,53
Amazonas,2012,1,6
Amazonas,2013,1,37
Amazonas,2014,1,46
Amazonas,2015,1,35
Amazonas,2016,1,770
Amazonas,2017,1,65
Amazonas,1998,2,0
Amazonas,1999,2,43
Amazonas,2000,2,62
Amazonas,2001,2,8
Amazonas,2002,2,2
Amazonas,2003,2,62
Amazonas,2004,2,92
Amazonas,2005,2,6
Amazonas,2006,2,10
Amazonas,2007,2,92
Amazonas,2008,2,32
Amazonas,2009,2,3
Amazonas,2010,2,81
Amazonas,2011,2,30
Amazonas,2012,2,25
Amazonas,2013,2,16
Amazonas,2014,2,49
Amazonas,2015,2,107
Amazonas,2016,2,275
Amazonas,2017,2,52
Amazonas,1998,3,0
Amazonas,1999,3,7
Amazonas,2000,3,69
Amazonas,2001,3,6
Amazonas,2002,3,5
Amazonas,2003,3,64
Amazonas,2004,3,6
Amazonas,2005,3,12
Amazonas,2006,3,20
Amazonas,2007,3,6
Amazonas,2008,3,10
Amazonas,2009,3,11
Amazonas,2010,3,116
Amazonas,2011,3,49
Amazonas,2012,3,17
Amazonas,2013,3,49
Amazonas,2014,3,50
Amazonas,2015,3,46
Amazonas,2016,3,140
Amazonas,2017,3,45
Amazonas,1998,4,0
Amazonas,1999,4,2
Amazonas,2000,4,18
Amazonas,2001,4,1
Amazonas,2002,4,2
Amazonas,2003,4,11
Amazonas,2004,4,4
Amazonas,2005,4,5
Amazonas,2006,4,5
Amazonas,2007,4,0
Amazonas,2008,4,13
Amazonas,2009,4,1
Amazonas,2010,4,11
Amazonas,2011,4,5
Amazonas,2012,4,3
Amazonas,2013,4,20
Amazonas,2014,4,25
Amazonas,2015,4,24
Amazonas,2016,4,22
Amazonas,2017,4,20
Amazonas,1998,5,0
Amazonas,1999,5,0
Amazonas,2000,5,51
Amazonas,2001,5,0
Amazonas,2002,5,8
Amazonas,2003,5,2
Amazonas,2004,5,0
Amazonas,2005,5,8
Amazonas,2006,5,4
Amazonas,2007,5,0
Amazonas,2008,5,1
Amazonas,2009,5,3
Amazonas,2010,5,13
Amazonas,2011,5,6
Amazonas,2012,5,12
Amazonas,2013,5,19
Amazonas,2014,5,12
Amazonas,2015,5,10
Amazonas,2016,5,30
Amazonas,2017,5,40
Amazonas,1998,6,2
Amazonas,1999,6,7
Amazonas,2000,6,6
Amazonas,2001,6,5
Amazonas,2002,6,5
Amazonas,2003,6,3
Amazonas,2004,6,12
Amazonas,2005,6,78
Amazonas,2006,6,9
Amazonas,2007,6,23
Amazonas,2008,6,7
Amazonas,2009,6,13
Amazonas,2010,6,9
Amazonas,2011,6,22
Amazonas,2012,6,45
Amazonas,2013,6,56
Amazonas,2014,6,74
Amazonas,2015,6,33
Amazonas,2016,6,90
Amazonas,2017,6,119
Amazonas,1998,7,71
Amazonas,1999,7,11
Amazonas,2000,7,39
Amazonas,2001,7,9
Amazonas,2002,7,146
Amazonas,2003,7,180
Amazonas,2004,7,177
Amazonas,2005,7,676
Amazonas,2006,7,123
Amazonas,2007,7,116
Amazonas,2008,7,108
Amazonas,2009,7,199
Amazonas,2010,7,640
Amazonas,2011,7,271
Amazonas,2012,7,234
Amazonas,2013,7,248
Amazonas,2014,7,202
Amazonas,2015,7,356
Amazonas,2016,7,1.137
Amazonas,2017,7,1.975
Amazonas,1998,8,321
Amazonas,1999,8,259
Amazonas,2000,8,180
Amazonas,2001,8,501
Amazonas,2002,8,741
Amazonas,2003,8,1.867
Amazonas,2004,8,1.207
Amazonas,2005,8,2.316
Amazonas,2006,8,1.422
Amazonas,2007,8,2.241
Amazonas,2008,8,861
Amazonas,2009,8,1.321
Amazonas,2010,8,3.727
Amazonas,2011,8,1.243
Amazonas,2012,8,3.011
Amazonas,2013,8,1.276
Amazonas,2014,8,3.852
Amazonas,2015,8,4.564
Amazonas,2016,8,3.611
Amazonas,2017,8,6.316
Amazonas,1998,9,267
Amazonas,1999,9,216
Amazonas,2000,9,189
Amazonas,2001,9,166
Amazonas,2002,9,928
Amazonas,2003,9,1.401
Amazonas,2004,9,911
Amazonas,2005,9,2.812
Amazonas,2006,9,2.218
Amazonas,2007,9,1.36
Amazonas,2008,9,998
Amazonas,2009,9,3.091
Amazonas,2010,9,2.781
Amazonas,2011,9,1.295
Amazonas,2012,9,2.392
Amazonas,2013,9,1.739
Amazonas,2014,9,3.057
Amazonas,2015,9,5.882
Amazonas,2016,9,3.119
Amazonas,2017,9,4.033
Amazonas,1998,10,83
Amazonas,1999,10,479
Amazonas,2000,10,145
Amazonas,2001,10,332
Amazonas,2002,10,695
Amazonas,2003,10,725
Amazonas,2004,10,710
Amazonas,2005,10,545
Amazonas,2006,10,721
Amazonas,2007,10,215
Amazonas,2008,10,632
Amazonas,2009,10,2.189
Amazonas,2010,10,889
Amazonas,2011,10,694
Amazonas,2012,10,1.238
Amazonas,2013,10,1.202
Amazonas,2014,10,952
Amazonas,2015,10,2.494
Amazonas,2016,10,2.105
Amazonas,2017,10,1.581
Amazonas,1998,11,6
Amazonas,1999,11,32
Amazonas,2000,11,27
Amazonas,2001,11,244
Amazonas,2002,11,259
Amazonas,2003,11,169
Amazonas,2004,11,209
Amazonas,2005,11,261
Amazonas,2006,11,59
Amazonas,2007,11,90
Amazonas,2008,11,39
Amazonas,2009,11,973
Amazonas,2010,11,354
Amazonas,2011,11,399
Amazonas,2012,11,682
Amazonas,2013,11,220
Amazonas,2014,11,676
Amazonas,2015,11,1.054
Amazonas,2016,11,591
Amazonas,2017,11,552
Amazonas,1998,12,196
Amazonas,1999,12,2
Amazonas,2000,12,60
Amazonas,2001,12,22
Amazonas,2002,12,44
Amazonas,2003,12,147
Amazonas,2004,12,53
Amazonas,2005,12,17
Amazonas,2006,12,23
Amazonas,2007,12,7
Amazonas,2008,12,0
Amazonas,2009,12,102
Amazonas,2010,12,123
Amazonas,2011,12,121
Amazonas,2012,12,80
Amazonas,2013,12,236
Amazonas,2014,12,293
Amazonas,2015,12,565
Amazonas,2016,12,133
Bahia,1998,1,0
Bahia,1999,1,114
Bahia,2000,1,31
Bahia,2001,1,24
Bahia,2002,1,125
Bahia,2003,1,439
Bahia,2004,1,158
Bahia,2005,1,303
Bahia,2006,1,225
Bahia,2007,1,373
Bahia,2008,1,314
Bahia,2009,1,177
Bahia,2010,1,297
Bahia,2011,1,101
Bahia,2012,1,179
Bahia,2013,1,125
Bahia,2014,1,132
Bahia,2015,1,256
Bahia,2016,1,285
Bahia,2017,1,154
Bahia,1998,2,0
Bahia,1999,2,157
Bahia,2000,2,32
Bahia,2001,2,101
Bahia,2002,2,204
Bahia,2003,2,223
Bahia,2004,2,122
Bahia,2005,2,143
Bahia,2006,2,277
Bahia,2007,2,113
Bahia,2008,2,235
Bahia,2009,2,117
Bahia,2010,2,206
Bahia,2011,2,156
Bahia,2012,2,200
Bahia,2013,2,231
Bahia,2014,2,107
Bahia,2015,2,143
Bahia,2016,2,418
Bahia,2017,2,100
Bahia,1998,3,0
Bahia,1999,3,83
Bahia,2000,3,65
Bahia,2001,3,4
Bahia,2002,3,146
Bahia,2003,3,274
Bahia,2004,3,115
Bahia,2005,3,158
Bahia,2006,3,199
Bahia,2007,3,141
Bahia,2008,3,135
Bahia,2009,3,249
Bahia,2010,3,156
Bahia,2011,3,90
Bahia,2012,3,404
Bahia,2013,3,363
Bahia,2014,3,148
Bahia,2015,3,229
Bahia,2016,3,281
Bahia,2017,3,163
Bahia,1998,4,0
Bahia,1999,4,55
Bahia,2000,4,23
Bahia,2001,4,26
Bahia,2002,4,110
Bahia,2003,4,376
Bahia,2004,4,89
Bahia,2005,4,76
Bahia,2006,4,60
Bahia,2007,4,64
Bahia,2008,4,151
Bahia,2009,4,40
Bahia,2010,4,103
Bahia,2011,4,149
Bahia,2012,4,396
Bahia,2013,4,108
Bahia,2014,4,183
Bahia,2015,4,190
Bahia,2016,4,217
Bahia,2017,4,94
Bahia,1998,5,0
Bahia,1999,5,76
Bahia,2000,5,71
Bahia,2001,5,85
Bahia,2002,5,166
Bahia,2003,5,106
Bahia,2004,5,124
Bahia,2005,5,120
Bahia,2006,5,43
Bahia,2007,5,161
Bahia,2008,5,56
Bahia,2009,5,34
Bahia,2010,5,198
Bahia,2011,5,189
Bahia,2012,5,326
Bahia,2013,5,141
Bahia,2014,5,224
Bahia,2015,5,144
Bahia,2016,5,259
Bahia,2017,5,121
Bahia,1998,6,55
Bahia,1999,6,64
Bahia,2000,6,178
Bahia,2001,6,98
Bahia,2002,6,118
Bahia,2003,6,140
Bahia,2004,6,289
Bahia,2005,6,211
Bahia,2006,6,68
Bahia,2007,6,270
Bahia,2008,6,72
Bahia,2009,6,92
Bahia,2010,6,192
Bahia,2011,6,345
Bahia,2012,6,385
Bahia,2013,6,208
Bahia,2014,6,243
Bahia,2015,6,242
Bahia,2016,6,416
Bahia,2017,6,329
Bahia,1998,7,219
Bahia,1999,7,107
Bahia,2000,7,202
Bahia,2001,7,248
Bahia,2002,7,549
Bahia,2003,7,261
Bahia,2004,7,310
Bahia,2005,7,269
Bahia,2006,7,229
Bahia,2007,7,811
Bahia,2008,7,271
Bahia,2009,7,321
Bahia,2010,7,519
Bahia,2011,7,578
Bahia,2012,7,906
Bahia,2013,7,362
Bahia,2014,7,249
Bahia,2015,7,306
Bahia,2016,7,345
Bahia,2017,7,300
Bahia,1998,8,815
Bahia,1999,8,453
Bahia,2000,8,633
Bahia,2001,8,979
Bahia,2002,8,1.827
Bahia,2003,8,1.039
Bahia,2004,8,1.43
Bahia,2005,8,948
Bahia,2006,8,995
Bahia,2007,8,3.734
Bahia,2008,8,611
Bahia,2009,8,439
Bahia,2010,8,2.423
Bahia,2011,8,1.795
Bahia,2012,8,1.835
Bahia,2013,8,610
Bahia,2014,8,674
Bahia,2015,8,829
Bahia,2016,8,724
Bahia,2017,8,1.018
Bahia,1998,9,2.718
Bahia,1999,9,1.275
Bahia,2000,9,2.285
Bahia,2001,9,3.964
Bahia,2002,9,6.439
Bahia,2003,9,8.847
Bahia,2004,9,6.433
Bahia,2005,9,4.066
Bahia,2006,9,3.006
Bahia,2007,9,7.438
Bahia,2008,9,4.837
Bahia,2009,9,3.61
Bahia,2010,9,5.323
Bahia,2011,9,7.086
